"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","ip-172-31-11-122",,,,"User:","root"
"Cmdline:","dstat --nocolor --noheaders --noupdate --time --cpu --mem --load --net --output /var/log/dstat.csv 60",,,,"Date:","17 Aug 2019 17:15:24 UTC"
"system","total cpu usage",,,,,"memory usage",,,,"load avg",,,"net/total",
"time","usr","sys","idl","wai","stl","used","free","buff","cach","1m","5m","15m","recv","send"
17-08 17:15:24,13.850,7.771,77.758,0.614,0.008,327892992,1481789440,152985600,5779865600,0.390,0.200,0.130,0,0
17-08 17:16:24,12.565,19.554,62.782,5.099,0,354521088,849313792,154320896,6332264448,0.760,0.330,0.180,1144075140.067,1144074693.200
17-08 17:17:24,19.669,9.843,70.479,0.009,0,350011392,855855104,154341376,6330183680,0.640,0.390,0.210,918833404.217,916098940.533
17-08 17:18:24,0.592,0.392,99.016,0,0,352903168,853016576,154349568,6330183680,0.230,0.310,0.190,892.583,712.983
17-08 17:19:24,0.576,0.392,99.023,0.008,0,354631680,851255296,154349568,6330183680,0.080,0.250,0.180,898.517,668.817
17-08 17:20:24,13.269,15.562,71.169,0,0,356855808,849010688,154353664,6330183680,0.480,0.330,0.210,421202586.583,421202386.417
17-08 17:21:24,18.036,12.786,69.178,0,0,357322752,848539648,154353664,6330187776,0.630,0.390,0.240,711671781.400,575607336.883
17-08 17:22:24,2.516,1.508,95.977,0,0,356581376,849276928,154357760,6330187776,0.390,0.370,0.240,207118342.683,105076415.783
17-08 17:23:24,1.698,1.012,97.240,0.042,0.008,335364096,872030208,154406912,6329905152,0.140,0.300,0.220,18446744071069884416,18446744071244040192
17-08 17:24:24,0.467,0.384,99.140,0.008,0,334200832,873181184,154411008,6329896960,0.050,0.240,0.200,664.033,382.717
