"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","k3s-1",,,,"User:","root"
"Cmdline:","dstat --nocolor --noheaders --noupdate --time --cpu --mem --load --net --output ./results_netperf-latest/dstat-baseline-node1.csv 60",,,,"Date:","11 Aug 2019 09:08:31 "
"system","total cpu usage",,,,,"memory usage",,,,"load avg",,,"net/total",
"time","usr","sys","idl","wai","stl","used","free","buff","cach","1m","5m","15m","recv","send"
11-08 09:08:31,0.866,0.453,98.665,0.017,0,306925568,7473000448,14258176,528031744,0.120,0.180,0.120,0,0
11-08 09:09:31,7.062,6.358,86.297,0.283,0,331845632,6944317440,30842880,970924032,0.570,0.280,0.160,752144780.567,750096023.167
11-08 09:10:31,8.900,10.918,80.183,0,0,333357056,6942457856,30941184,970928128,0.810,0.400,0.210,2253484082.117,2253484637.467
11-08 09:11:31,8.613,11.050,80.333,0.004,0,335581184,6939967488,31039488,971010048,0.650,0.430,0.230,2350288091.733,2350288579.800
11-08 09:12:31,8.684,11.291,80.020,0.004,0,338472960,6936801280,31129600,971026432,0.770,0.510,0.270,2329705318.967,2329705778.150
11-08 09:13:31,8.366,11.584,80.050,0,0,339390464,6935760896,31211520,971026432,0.670,0.530,0.300,2461789894.767,2461790433.167
11-08 09:14:31,8.232,11.682,80.086,0,0,339423232,6935572480,31293440,971030528,0.920,0.620,0.340,2519315633.017,2519316122.583
11-08 09:15:31,8.531,11.084,80.381,0.004,0,339816448,6935007232,31399936,971063296,1.270,0.790,0.420,2327516556.717,2327517078.100
11-08 09:16:31,8.358,11.238,80.400,0.004,0,340946944,6933725184,31490048,971067392,0.940,0.790,0.440,2414970265.367,2414970775.100
11-08 09:17:31,9.391,10.588,80.020,0,0,342216704,6932328448,31580160,971067392,0.830,0.780,0.460,2156479776.017,2156480167.300
11-08 09:18:31,9.241,10.858,79.900,0,0,343724032,6930714624,31670272,971067392,1.050,0.850,0.510,2189892884.700,2189893346.950
11-08 09:19:31,9.157,10.710,80.128,0.004,0,344145920,6929993728,31752192,971239424,1.290,0.930,0.560,2207895601.617,2207895985.667
11-08 09:20:31,9.055,10.712,80.233,0,0,344276992,6927814656,31842304,973168640,1.030,0.930,0.580,2159548600.267,2159550112.467
11-08 09:21:31,8.194,10.377,81.428,0,0,344944640,6927007744,31948800,973172736,0.770,0.870,0.580,2181155358.050,2181155846.350
11-08 09:22:31,8.835,10.502,80.659,0.004,0,345604096,6926221312,32038912,973172736,0.920,0.880,0.600,2186824171.867,2186824608.250
11-08 09:23:31,8.535,9.897,81.564,0.004,0,347774976,6923915264,32129024,973180928,0.880,0.870,0.610,2031374485.367,2031373774.800
11-08 09:24:31,10.951,5.767,83.282,0,0,348839936,6923792384,32210944,972132352,0.700,0.820,0.610,1103811739.350,1104337710.717
11-08 09:25:31,12.830,1.449,85.716,0.004,0,349552640,6922932224,32309248,972173312,0.650,0.780,0.610,56172431.600,41468112.117
11-08 09:26:31,13.319,2.166,84.511,0.004,0,349011968,6923362304,32399360,972169216,0.680,0.760,0.620,111207043.117,70444399
11-08 09:27:31,14.703,2.525,82.768,0.004,0,351256576,6920998912,32489472,972177408,0.760,0.760,0.630,156552686.517,93076686.367
11-08 09:28:31,15.031,2.430,82.535,0.004,0,347783168,6924374016,32579584,972185600,0.490,0.680,0.610,201788925.767,115358628.267
11-08 09:29:31,15.638,2.969,81.393,0,0,346685440,6925352960,32669696,972185600,0.690,0.720,0.630,270948485.783,151448768.617
11-08 09:30:31,16.284,3.122,80.586,0.008,0,348454912,6923481088,32751616,972189696,0.620,0.700,0.630,309211033.667,169871954
11-08 09:31:31,16.192,3.214,80.590,0.004,0,345481216,6927405056,32833536,971141120,0.580,0.670,0.630,343883724.550,186698523.683
11-08 09:32:31,13.513,2.220,84.267,0,0,344326144,6928412672,32948224,971145216,0.290,0.580,0.600,31049660.867,36377931.833
11-08 09:33:31,13.790,2.764,83.446,0,0,344756224,6927880192,33038336,971145216,0.320,0.520,0.580,56400431.983,84946539.700
11-08 09:34:31,13.513,2.473,84.010,0.004,0,343867392,6928687104,33120256,971137024,0.420,0.520,0.570,85905324.683,141496824.467
11-08 09:35:31,13.254,2.685,84.061,0,0,344707072,6927728640,33202176,971149312,0.260,0.450,0.540,116057949.817,200416142.750
11-08 09:36:31,13.294,2.645,84.057,0.004,0,345247744,6927097856,33284096,971149312,0.260,0.410,0.520,141954973.667,252414685.317
11-08 09:37:31,12.995,2.578,84.427,0,0,345677824,6926548992,33382400,971157504,0.340,0.410,0.520,159677999.183,289331951.833
11-08 09:38:31,13.226,2.568,84.197,0.008,0,345329664,6926782464,33480704,971157504,0.260,0.380,0.500,182245186.200,334933569.617
11-08 09:39:31,9.958,6.826,83.216,0,0,346255360,6923644928,33562624,973258752,0.650,0.450,0.510,1285422307.050,1341963439.833
11-08 09:40:31,9.471,10.440,80.085,0.004,0,347385856,6922395648,33644544,973258752,0.580,0.460,0.510,2106939525.683,2106939594.400
11-08 09:41:31,9.466,10.077,80.457,0,0,347766784,6921900032,33726464,973262848,0.630,0.490,0.520,2052940894.033,2052941026.733
11-08 09:42:31,9.323,10.374,80.299,0.004,0,347906048,6921621504,33841152,973254656,0.780,0.540,0.540,2161295229.700,2161295337.867
11-08 09:43:31,8.729,10.040,81.226,0.004,0,351621120,6917783552,33923072,973262848,0.640,0.550,0.540,2099604016.817,2099604167.367
11-08 09:44:31,8.957,10.544,80.499,0,0,347598848,6921691136,34013184,973266944,0.670,0.570,0.550,2256804517.300,2256804682.967
11-08 09:45:31,9.253,10.309,80.433,0.004,0,345899008,6923268096,34095104,973266944,0.560,0.560,0.550,2119666281.583,2119666325.417
11-08 09:46:31,8.430,9.670,81.900,0,0,346370048,6924783616,34185216,971165696,0.700,0.590,0.560,2008181275.217,2008181291.050
11-08 09:47:31,13.287,3.488,83.225,0,0,346030080,6925008896,34291712,971173888,0.730,0.620,0.570,275201744.017,257663042.783
11-08 09:48:31,7.851,2.986,89.158,0.004,0,346292224,6924660736,34373632,971177984,0.530,0.570,0.550,414100511.467,433426928.650
