"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","k3s-1",,,,"User:","root"
"Cmdline:","dstat --nocolor --noheaders --noupdate --time --cpu --mem --load --net --output ./results_netperf-latest/dstat-boringtun-node1.csv 60",,,,"Date:","11 Aug 2019 13:56:47 "
"system","total cpu usage",,,,,"memory usage",,,,"load avg",,,"net/total",
"time","usr","sys","idl","wai","stl","used","free","buff","cach","1m","5m","15m","recv","send"
11-08 13:56:47,2.120,1.054,96.724,0.102,0,296116224,7546204160,12283904,473497600,0.140,0.100,0.040,0,0
11-08 13:57:47,7.613,6.808,85.248,0.331,0,334262272,7005360128,27430912,918372352,0.980,0.350,0.130,809348023.183,807299714.783
11-08 13:58:47,8.655,10.923,80.417,0.004,0,339755008,6999609344,27521024,918384640,0.700,0.380,0.150,2217961225.983,2217961823.683
11-08 13:59:47,8.632,11.300,80.064,0.004,0,340414464,7000875008,27619328,916279296,0.730,0.450,0.190,2333439367.917,2333439948.467
11-08 14:00:47,8.567,11.366,80.068,0,0,341364736,6999777280,27713536,916291584,0.720,0.500,0.220,2345703552.433,2345704087.283
11-08 14:01:47,8.418,11.701,79.877,0.004,0,342302720,6998704128,27795456,916291584,0.580,0.500,0.240,2423852078.517,2423852568.033
11-08 14:02:47,8.274,11.966,79.760,0,0,342368256,6998478848,27910144,916291584,0.660,0.530,0.270,2512204150.417,2512204573.683
11-08 14:03:47,8.617,11.391,79.988,0.004,0,347590656,6993129472,27992064,916299776,0.640,0.560,0.290,2341818827.083,2341819255.917
11-08 14:04:47,8.397,11.512,80.086,0.004,0,356073472,6984441856,28082176,916389888,1.260,0.750,0.370,2406785256.800,2406786935.100
11-08 14:05:47,9.555,10.533,79.912,0,0,357888000,6982479872,28172288,916389888,1.040,0.790,0.410,2158548080.483,2158548595.150
11-08 14:06:47,9.195,10.591,80.210,0.004,0,361033728,6979231744,28262400,916381696,0.900,0.800,0.440,2222128054.800,2222128556.033
11-08 14:07:47,9.157,10.655,80.188,0,0,360935424,6979207168,28344320,916393984,1.060,0.880,0.490,2210070333.033,2210070733.200
11-08 14:08:47,9.226,10.690,80.080,0.004,0,361680896,6978342912,28434432,916385792,0.840,0.840,0.500,2226684487.050,2226684781.117
11-08 14:09:47,8.817,11.125,80.053,0.004,0,361377792,6978310144,28545024,916578304,0.920,0.850,0.520,2402008372.067,2402008656.250
11-08 14:10:47,8.612,10.518,80.870,0,0,365494272,6972162048,28626944,918507520,0.890,0.830,0.540,2193689670.600,2193690109.700
11-08 14:11:47,8.640,9.854,81.502,0.004,0,365031424,6972481536,28733440,918515712,1.010,0.840,0.560,2062094484.917,2062094836.850
11-08 14:12:47,10.753,12.162,77.085,0,0,362545152,6975913984,28815360,917467136,0.680,0.780,0.550,996141648.817,996097647.617
11-08 14:13:47,12.098,13.048,74.850,0.004,0,363343872,6975008768,28905472,917467136,0.630,0.760,0.560,13119055.117,9815547.633
11-08 14:14:47,12.291,13.336,74.368,0.004,0,363945984,6974300160,28995584,917471232,1.120,0.890,0.620,21628416.983,14105614.767
11-08 14:15:47,12.254,13.312,74.434,0,0,364519424,6973554688,29085696,917544960,0.750,0.830,0.620,28335557.200,17257392.567
11-08 14:16:47,12.210,13.455,74.331,0.004,0,364306432,6973652992,29175808,917553152,0.980,0.880,0.650,35734863.917,20900556.050
11-08 14:17:47,12.387,13.231,74.378,0.004,0,362700800,6975152128,29265920,917553152,0.950,0.880,0.660,43873128.233,24996372.033
11-08 14:18:47,12.454,13.229,74.318,0,0,363147264,6974595072,29356032,917557248,1.350,1.020,0.720,49841463.583,27885182.933
11-08 14:19:47,11.633,12.618,75.745,0.004,0,361492480,6977175552,29462528,916508672,1.210,1.040,0.750,52253697.283,28874893.433
11-08 14:20:47,14.510,13.899,71.587,0.004,0,360681472,6977867776,29560832,916512768,1.100,1.050,0.770,7961217.367,11397559.050
11-08 14:21:47,14.132,14.034,71.830,0.004,0,361295872,6977159168,29642752,916512768,1.550,1.220,0.850,11765052.967,18995920.333
11-08 14:22:47,14.435,13.785,71.780,0,0,361074688,6977282048,29724672,916512768,1.400,1.240,0.880,16413584.417,27907918.967
11-08 14:23:47,14.248,13.930,71.818,0.004,0,361365504,6976851968,29822976,916516864,1.220,1.210,0.890,20633501.100,36134636.733
