"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","k3s-1",,,,"User:","root"
"Cmdline:","dstat --nocolor --noheaders --noupdate --time --cpu --mem --load --net --output ./results_netperf-latest/dstat-ipsec-encap-go-node1.csv 60",,,,"Date:","12 Aug 2019 01:07:19 "
"system","total cpu usage",,,,,"memory usage",,,,"load avg",,,"net/total",
"time","usr","sys","idl","wai","stl","used","free","buff","cach","1m","5m","15m","recv","send"
12-08 01:07:19,3.015,1.423,95.347,0.215,0,296976384,7542697984,11776000,476827648,0.150,0.090,0.030,0,0
12-08 01:08:19,3.636,2.005,94.259,0.101,0,316747776,7064936448,25489408,886497280,0.470,0.170,0.060,2070048.250,23181.600
12-08 01:09:19,9.979,11.716,78.064,0.241,0,327303168,7008276480,28794880,919937024,0.710,0.310,0.110,2201836194.967,2201836865.500
12-08 01:10:19,8.721,11.357,79.922,0,0,333987840,7001300992,28876800,919941120,0.650,0.360,0.140,2334284253.317,2334284831.550
12-08 01:11:19,8.762,11.507,79.726,0.004,0,336216064,6998876160,28983296,919932928,0.890,0.490,0.200,2332729152.783,2332729698.250
12-08 01:12:19,8.664,11.464,79.872,0,0,335745024,6999027712,29073408,920047616,0.670,0.500,0.220,2324851076.450,2324851618.183
12-08 01:13:19,8.316,11.860,79.820,0.004,0,336187392,6998462464,29155328,920047616,0.750,0.560,0.260,2479879211.500,2479879685.733
12-08 01:14:19,8.547,11.299,80.155,0,0,339771392,6994751488,29245440,920039424,0.700,0.580,0.280,2391371480.850,2391371975.417
12-08 01:15:19,8.769,10.814,80.412,0.004,0,341958656,6992371712,29343744,920051712,0.670,0.580,0.300,2265080388.533,2265080815.933
12-08 01:16:19,9.519,10.275,80.206,0,0,352522240,6981668864,29442048,920051712,0.660,0.580,0.320,2079345603.367,2079347352.667
12-08 01:17:19,9.304,9.850,80.841,0.004,0,352702464,6979284992,29523968,922152960,0.820,0.650,0.360,2059399407.833,2059399958.800
12-08 01:18:19,9.539,9.717,80.744,0,0,356470784,6975401984,29614080,922152960,0.650,0.630,0.370,1981957918.417,1981958403.267
12-08 01:19:19,8.876,9.907,81.213,0.004,0,356134912,6975598592,29704192,922157056,0.680,0.650,0.390,2079400644.267,2079401063.167
12-08 01:20:19,8.834,9.965,81.200,0,0,356204544,6975397888,29786112,922157056,0.690,0.660,0.410,2099109318.300,2099109740.317
12-08 01:21:19,8.772,9.984,81.239,0.004,0,357163008,6974300160,29892608,922165248,0.610,0.640,0.420,2146886610.933,2146887015.800
12-08 01:22:19,9.194,9.876,80.926,0.004,0,356417536,6974914560,29990912,922173440,0.680,0.660,0.440,2085651710.100,2085652118.383
12-08 01:23:19,9.541,8.973,81.486,0,0,364380160,6967877632,30081024,921128960,0.540,0.630,0.450,1876006976.800,1876292919.917
12-08 01:24:19,12.636,0.555,86.809,0,0,361291776,6970863616,30162944,921133056,0.520,0.620,0.450,29069331.883,25738866.267
12-08 01:25:19,12.926,0.588,86.482,0.004,0,361091072,6970953728,30244864,921133056,0.480,0.600,0.450,70025616.050,47876333.883
12-08 01:26:19,13.147,0.606,86.247,0,0,359809024,6972088320,30343168,921137152,0.550,0.610,0.470,95359938.250,59299083.750
12-08 01:27:19,12.966,0.663,86.367,0.004,0,355852288,6976978944,30449664,920088576,0.630,0.610,0.470,113587588.783,66772473.383
12-08 01:28:19,13.402,0.928,85.670,0,0,356098048,6976638976,30531584,920088576,0.520,0.580,0.470,171586093.883,98010532.050
12-08 01:29:19,13.566,1.170,85.260,0.004,0,353976320,6978654208,30621696,920092672,0.680,0.630,0.490,197996293.817,110659338.667
12-08 01:30:19,13.455,1.399,85.146,0,0,354283520,6978154496,30711808,920166400,0.800,0.690,0.530,210886375.233,116069501.933
12-08 01:31:19,14.714,1.667,83.615,0.004,0,353783808,6978523136,30810112,920170496,0.750,0.700,0.540,96009616.983,60411785.767
12-08 01:32:19,14.280,1.844,83.877,0,0,354185216,6978015232,30900224,920170496,0.780,0.710,0.560,42382660.133,58257534.183
12-08 01:33:19,13.791,2.001,84.207,0,0,355106816,6976970752,30982144,920174592,0.640,0.690,0.560,49409348.433,77997075.233
12-08 01:34:19,13.554,2.004,84.437,0.004,0,354918400,6977060864,31072256,920166400,0.680,0.690,0.560,78764113.033,132007644.750
12-08 01:35:19,12.738,2.146,85.116,0,0,355401728,6976471040,31154176,920170496,0.330,0.590,0.530,82118686.150,142957610.417
12-08 01:36:19,12.885,2.082,85.028,0.004,0,354877440,6976851968,31268864,920182784,0.310,0.540,0.520,106299460.217,189352332.700
12-08 01:37:19,12.808,1.915,85.278,0,0,355942400,6975672320,31367168,920182784,0.520,0.550,0.530,116733771.067,211579625.467
12-08 01:38:19,11.443,4.630,83.923,0.004,0,355971072,6973431808,31449088,922284032,0.590,0.560,0.530,730430950.367,798697821.867
12-08 01:39:19,10.352,9.708,79.940,0,0,354816000,6974427136,31539200,922320896,0.830,0.610,0.550,1923086595.450,1923086663.217
12-08 01:40:19,9.671,9.464,80.860,0.004,0,355328000,6973792256,31621120,922324992,0.650,0.590,0.550,1909198627.167,1909198836.800
12-08 01:41:19,9.937,9.875,80.183,0.004,0,355708928,6973292544,31719424,922324992,0.650,0.600,0.550,1955692784.833,1955692578.217
12-08 01:42:19,9.778,10.136,80.086,0,0,357187584,6971691008,31809536,922329088,0.890,0.670,0.580,1929538033.217,1929538487.233
12-08 01:43:19,9.580,10.433,79.983,0.004,0,355491840,6973231104,31916032,922329088,0.860,0.710,0.600,2132696803.650,2132696863.933
12-08 01:44:19,9.965,9.956,80.079,0,0,355237888,6973382656,31997952,922329088,0.780,0.730,0.620,2019508452.367,2019508531.617
12-08 01:45:19,9.976,9.737,80.282,0.004,0,356171776,6972321792,32088064,922333184,0.680,0.700,0.620,1935245476.950,1935245495.283
