"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","k3s-2",,,,"User:","root"
"Cmdline:","dstat --nocolor --noheaders --noupdate --time --cpu --mem --load --net --output ./results_netperf-latest/dstat-ipsec-node2.csv 60",,,,"Date:","11 Aug 2019 10:04:35 "
"system","total cpu usage",,,,,"memory usage",,,,"load avg",,,"net/total",
"time","usr","sys","idl","wai","stl","used","free","buff","cach","1m","5m","15m","recv","send"
11-08 10:04:35,0.726,0.588,98.611,0.074,0,112504832,8023449600,6549504,201375744,0.110,0.060,0.020,0,0
11-08 10:05:35,0.154,0.067,99.775,0.004,0,117477376,8017805312,6664192,201531392,0.040,0.050,0.010,886.800,384.300
11-08 10:06:35,4.389,2.396,92.862,0.352,0,156385280,7500517376,23154688,626839552,0.230,0.120,0.040,2067213.467,16142.967
11-08 10:07:35,0.142,0.084,99.774,0,0,157577216,7499243520,23212032,626843648,0.080,0.100,0.030,1040.850,883.767
11-08 10:08:35,0.155,0.092,99.749,0.004,0,158818304,7497904128,23261184,626851840,0.030,0.080,0.030,987.983,860.700
11-08 10:09:35,0.159,0.108,99.733,0,0,159870976,7496773632,23310336,626876416,0.170,0.110,0.040,1004.550,895.750
11-08 10:10:35,0.146,0.084,99.766,0.004,0,161185792,7495376896,23371776,626876416,0.060,0.080,0.030,995.117,896.483
11-08 10:11:35,0.159,0.092,99.750,0,0,161280000,7495217152,23420928,626888704,0.020,0.070,0.030,1017.867,975.717
11-08 10:12:35,0.179,0.100,99.720,0,0,162291712,7494144000,23461888,626909184,0.040,0.070,0.030,1012.783,937.700
11-08 10:13:35,0.150,0.084,99.762,0.004,0,162275328,7494103040,23511040,626917376,0.010,0.050,0.020,1012.250,957.633
11-08 10:14:35,0.271,0.125,99.603,0,0,162975744,7493328896,23568384,626925568,0,0.040,0.020,992.750,933.017
11-08 10:15:35,0.167,0.063,99.770,0,0,162611200,7493611520,23633920,626937856,0,0.030,0.010,931.117,856.267
11-08 10:16:35,0.146,0.083,99.766,0.004,0,163586048,7492562944,23691264,626950144,0.050,0.040,0.010,1010.133,1007.517
11-08 10:17:35,0.180,0.058,99.762,0,0,163700736,7492378624,23748608,626962432,0.020,0.030,0,1012.350,1009.483
11-08 10:18:35,0.138,0.092,99.770,0,0,164302848,7491702784,23805952,626978816,0,0.020,0,1002.167,1024.700
11-08 10:19:35,0.171,0.071,99.754,0.004,0,164229120,7491702784,23863296,626987008,0.130,0.050,0.010,1010.300,1057.517
11-08 10:20:35,0.213,0.071,99.716,0,0,164290560,7491584000,23912448,626995200,0.050,0.040,0,1001.217,1046.283
11-08 10:21:35,11.325,1.573,87.101,0,0,167579648,7487107072,23957504,628056064,0.220,0.090,0.020,24004261.600,25510052.483
11-08 10:22:35,13.580,1.570,84.850,0,0,167628800,7486922752,24006656,628068352,0.390,0.160,0.050,47737987.633,68926645.667
11-08 10:23:35,12.289,1.926,85.781,0.004,0,168161280,7486279680,24055808,628084736,0.260,0.160,0.060,51336806.783,82869785.267
11-08 10:24:35,11.817,1.923,86.261,0,0,168947712,7485423616,24104960,628092928,0.190,0.160,0.060,71737100.733,122268741.917
11-08 10:25:35,12.273,1.864,85.863,0,0,168599552,7485685760,24162304,628105216,0.440,0.250,0.100,93538319.567,164405899.683
11-08 10:26:35,11.822,1.961,86.217,0,0,168357888,7485853696,24211456,628113408,0.420,0.280,0.120,113084002.817,203206385.933
