"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","k3s-2",,,,"User:","root"
"Cmdline:","dstat --nocolor --noheaders --noupdate --time --cpu --mem --load --net --output ./results_netperf-latest/dstat-wireguard-go-node2.csv 60",,,,"Date:","11 Aug 2019 14:44:21 "
"system","total cpu usage",,,,,"memory usage",,,,"load avg",,,"net/total",
"time","usr","sys","idl","wai","stl","used","free","buff","cach","1m","5m","15m","recv","send"
11-08 14:44:21,0.952,0.696,98.262,0.090,0,106934272,8031051776,6443008,199548928,0.020,0.010,0,0,0
11-08 14:45:21,2.559,1.267,96.011,0.164,0,151793664,7514558464,15867904,624955392,0.300,0.080,0.030,2066518.483,15551.300
11-08 14:46:21,0.271,0.113,99.612,0.004,0,155680768,7510556672,15925248,624967680,0.110,0.070,0.020,1063.417,931.983
11-08 14:47:21,0.205,0.096,99.699,0,0,157700096,7508467712,15982592,624971776,0.040,0.050,0.010,1067.700,927.750
11-08 14:48:21,0.200,0.088,99.708,0.004,0,159236096,7506841600,16039936,624979968,0.010,0.040,0.010,1057.117,946.400
11-08 14:49:21,0.217,0.150,99.633,0,0,159772672,7506210816,16105472,624992256,0,0.030,0,1050.067,948.517
11-08 14:50:21,0.209,0.142,99.645,0.004,0,160948224,7504961536,16154624,625008640,0,0.020,0,1044.033,951.900
11-08 14:51:21,0.200,0.154,99.645,0,0,160931840,7504912384,16203776,625025024,0.190,0.060,0.010,1069.900,993.400
11-08 14:52:21,0.205,0.113,99.683,0,0,161288192,7504494592,16252928,625037312,0.070,0.050,0.010,1050.433,1001.217
11-08 14:53:21,0.196,0.096,99.704,0.004,0,161501184,7504220160,16306176,625045504,0.020,0.040,0,1020,966.717
11-08 14:54:21,0.192,0.129,99.678,0,0,162467840,7503196160,16347136,625057792,0.010,0.030,0,1049.850,1027.217
11-08 14:55:21,0.159,0.104,99.733,0.004,0,162680832,7502905344,16396288,625065984,0,0.020,0,1062.883,1044.817
11-08 14:56:21,0.213,0.154,99.633,0,0,163323904,7502188544,16461824,625074176,0.030,0.030,0,1056.117,1072.483
11-08 14:57:21,0.217,0.125,99.658,0,0,163602432,7501832192,16519168,625090560,0.010,0.020,0,1043.100,1056.733
11-08 14:58:21,0.238,0.142,99.616,0.004,0,164282368,7501074432,16576512,625102848,0.150,0.050,0.010,1070.633,1108.583
11-08 14:59:21,0.155,0.142,99.703,0,0,164495360,7500783616,16642048,625115136,0.130,0.060,0.010,988.767,977.150
11-08 15:00:21,2.744,2.638,94.618,0,0,184180736,7479939072,16715776,626171904,0.320,0.110,0.030,690582.550,919552.100
11-08 15:01:21,13.121,11.589,75.290,0,0,240230400,7423799296,16764928,626184192,0.880,0.280,0.090,5109983.900,7760730.150
11-08 15:02:21,13.319,11.707,74.970,0.004,0,255471616,7408418816,16805888,626196480,0.860,0.390,0.140,7945719.867,13336290.550
11-08 15:03:21,13.127,11.774,75.099,0,0,256610304,7407194112,16863232,626208768,1.030,0.530,0.200,10420469.283,18286907.050
