"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","k3s-2",,,,"User:","root"
"Cmdline:","dstat --nocolor --noheaders --noupdate --time --cpu --mem --load --net --output ./results_netperf-latest/dstat-wireguard-node2.csv 60",,,,"Date:","11 Aug 2019 11:02:38 "
"system","total cpu usage",,,,,"memory usage",,,,"load avg",,,"net/total",
"time","usr","sys","idl","wai","stl","used","free","buff","cach","1m","5m","15m","recv","send"
11-08 11:02:38,0.370,0.251,99.359,0.020,0,135102464,7911075840,7471104,287264768,0,0,0,0,0
11-08 11:03:38,2.488,1.319,96.042,0.151,0,145969152,7440400384,16482304,702889984,0.160,0.030,0.010,2062199.667,11321
11-08 11:04:38,0.405,0.313,99.253,0.029,0,168026112,7407349760,16752640,712536064,0.110,0.040,0.010,5871.217,6091.817
11-08 11:05:38,0.292,0.209,99.499,0,0,168386560,7406931968,16801792,712536064,0.220,0.080,0.020,859.283,570.383
11-08 11:06:38,0.254,0.225,99.520,0,0,169357312,7405891584,16859136,712531968,0.080,0.060,0.020,892.783,604.717
11-08 11:07:38,0.242,0.188,99.566,0.004,0,170639360,7404535808,16900096,712540160,0.030,0.050,0.010,973.450,685.983
11-08 11:08:38,0.259,0.230,99.511,0,0,170872832,7404244992,16949248,712544256,0.040,0.050,0.010,888.817,607.100
11-08 11:09:38,0.321,0.246,99.429,0.004,0,170819584,7404244992,16998400,712544256,0.050,0.050,0.010,830.367,558.367
11-08 11:10:38,0.267,0.184,99.550,0,0,168382464,7406632960,17047552,712544256,0.020,0.040,0,920.450,638.933
11-08 11:11:38,0.321,0.209,99.470,0,0,168980480,7405981696,17096704,712548352,0,0.030,0,846.717,584.300
11-08 11:12:38,0.292,0.254,99.450,0.004,0,169263104,7405649920,17145856,712548352,0.130,0.070,0.010,848.617,590.100
11-08 11:13:38,0.271,0.150,99.578,0,0,169930752,7404924928,17195008,712552448,0.050,0.050,0.010,908.233,642.533
11-08 11:14:38,0.234,0.180,99.586,0,0,169988096,7404818432,17252352,712544256,0.020,0.040,0,842.783,580.250
11-08 11:15:38,0.226,0.142,99.628,0.004,0,170422272,7404326912,17297408,712556544,0,0.030,0,835.033,570.333
11-08 11:16:38,0.284,0.221,99.495,0,0,170336256,7404343296,17346560,712556544,0,0.020,0,950.333,660.717
11-08 11:17:38,0.221,0.163,99.616,0,0,169971712,7404658688,17395712,712556544,0.040,0.030,0,901,629.333
11-08 11:18:38,4.089,3.083,92.824,0.004,0,172572672,7400902656,17457152,713609216,0.200,0.070,0.010,3107393.800,2923364.067
11-08 11:19:38,15.819,11.376,72.805,0,0,171458560,7401816064,17506304,713609216,1.720,0.520,0.170,18442195.400,23354743.517
11-08 11:20:38,15.990,12.213,71.793,0.004,0,172044288,7401099264,17555456,713613312,1.870,0.770,0.280,28627718.317,43797886.683
11-08 11:21:38,15.970,12.683,71.348,0,0,172199936,7400878080,17596416,713613312,1.820,0.950,0.370,38157444.900,63075840.117
11-08 11:22:38,15.815,12.261,71.920,0.004,0,172351488,7400652800,17653760,713617408,1.840,1.100,0.460,46771921.300,80681308
11-08 11:23:38,15.687,12.817,71.491,0.004,0,172650496,7400296448,17694720,713617408,1.550,1.190,0.530,55401772.150,98247613.983
11-08 11:24:38,15.849,12.171,71.980,0,0,172716032,7400165376,17743872,713621504,1.430,1.230,0.590,63085010.450,113937704.183
11-08 11:25:38,15.429,12.306,72.265,0,0,172937216,7399874560,17793024,713621504,1.290,1.230,0.630,70766204.467,129637811.283
11-08 11:26:38,12.790,15.240,71.966,0.004,0,178466816,7394250752,17850368,713613312,1.970,1.450,0.740,29251601.167,45846199.533
11-08 11:27:38,12.575,17.374,70.052,0,0,173621248,7400038400,17915904,712577024,2.320,1.690,0.870,31474356.050,23208520.600
11-08 11:28:38,12.782,17.050,70.168,0,0,173641728,7399944192,17965056,712577024,2.460,1.850,0.980,50813488.017,32579138.067
11-08 11:29:38,12.616,18.003,69.381,0,0,170840064,7402659840,18014208,712581120,2.900,2.120,1.130,68511905.783,41148170.033
11-08 11:30:38,12.812,18.370,68.814,0.004,0,171372544,7402057728,18063360,712572928,2.920,2.290,1.250,92265768.950,53412898.733
11-08 11:31:38,13.000,18.837,68.163,0,0,171098112,7402262528,18112512,712577024,2.700,2.370,1.340,111046445.467,62702090.100
11-08 11:32:38,13.281,19.218,67.500,0,0,171810816,7401480192,18169856,712577024,3.070,2.530,1.460,128007055.417,71023412.200
11-08 11:33:38,8.898,12.908,78.194,0,0,172023808,7401189376,18219008,712589312,2.040,2.350,1.470,92354961.717,50556723.350
11-08 11:34:38,0.259,0.175,99.562,0.004,0,171311104,7401848832,18276352,712585216,0.800,1.940,1.380,868.767,583.317
11-08 11:35:38,0.250,0.242,99.507,0,0,171073536,7402033152,18317312,712593408,0.480,1.650,1.320,856.383,570.017
11-08 11:36:38,0.321,0.154,99.524,0,0,170762240,7402291200,18366464,712597504,0.170,1.350,1.230,931.883,606.550
11-08 11:37:38,0.280,0.146,99.574,0,0,170213376,7402790912,18415616,712597504,0.060,1.100,1.150,854.783,556.667
11-08 11:38:38,0.267,0.250,99.482,0,0,170430464,7402508288,18472960,712601600,0.020,0.900,1.080,864.250,583.217
11-08 11:39:38,0.254,0.200,99.541,0.004,0,170131456,7402766336,18513920,712601600,0.070,0.750,1.010,898.183,597.600
11-08 11:40:38,0.263,0.225,99.512,0,0,170598400,7402233856,18571264,712605696,0.020,0.610,0.950,890.683,595.450
11-08 11:41:38,0.720,0.339,98.941,0,0,185217024,7387566080,18612224,712613888,0.310,0.560,0.910,2988836.067,514736.833
11-08 11:42:38,5.879,4.302,89.819,0,0,171073536,7401660416,18669568,712605696,0.210,0.490,0.860,307661311.333,2445917.917
11-08 11:43:38,5.221,3.932,90.847,0,0,171528192,7401152512,18718720,712609792,0.790,0.610,0.880,23835986.650,44000068.017
11-08 11:44:38,0.355,0.267,99.374,0.004,0,145096704,7427940352,18808832,712552448,0.440,0.550,0.840,18446744073135906816,18446744073391886336
11-08 11:45:38,0.284,0.184,99.528,0.004,0,144572416,7428546560,18853888,712531968,0.160,0.450,0.790,680.417,421.100
11-08 11:46:38,0.284,0.188,99.528,0,0,145154048,7427915776,18903040,712531968,0.110,0.380,0.740,784.317,478.183
11-08 11:47:38,0.255,0.188,99.557,0,0,145100800,7427907584,18960384,712536064,0.040,0.310,0.690,814.583,519.567
11-08 11:48:38,0.225,0.138,99.633,0.004,0,144809984,7428157440,19009536,712527872,0.010,0.250,0.640,671.917,416.467
11-08 11:49:38,0.246,0.238,99.516,0,0,144785408,7428124672,19058688,712536064,0,0.200,0.600,681.817,430.433
11-08 11:50:38,0.230,0.117,99.653,0,0,145317888,7427534848,19107840,712540160,0.260,0.240,0.590,675.750,418.133
11-08 11:51:38,0.255,0.130,99.615,0,0,145608704,7427194880,19156992,712540160,0.090,0.200,0.550,668.300,426.167
11-08 11:52:38,0.255,0.167,99.574,0.004,0,145346560,7427403776,19206144,712544256,0.030,0.160,0.520,719.550,456.867
11-08 11:53:38,0.226,0.125,99.649,0,0,145211392,7427485696,19255296,712544256,0.010,0.130,0.480,667.083,409.717
11-08 11:54:38,0.226,0.155,99.620,0,0,145133568,7427510272,19304448,712548352,0.540,0.240,0.490,707.450,445.500
11-08 11:55:38,0.255,0.117,99.628,0,0,144859136,7427735552,19353600,712548352,0.190,0.200,0.460,773.317,513.683
11-08 11:56:38,0.234,0.142,99.620,0.004,0,144576512,7427960832,19402752,712552448,0.120,0.170,0.430,671.250,430.167
11-08 11:57:38,0.259,0.167,99.574,0,0,144818176,7427670016,19451904,712552448,0.040,0.140,0.410,679.933,440.167
